idx,original_post,sentence1,sentence2,automatic_antithesis,gold_label,real_antithesis,contrast
608,"Frage an die Journalisten Kolleginnen und Kollegen: Über Umfragen, die Merkel hohe Beliebtheit bescheinigen, berichten Sie regelmäßig. Über die von mir beauftragte, repräsentative INSA Umfrage, nach der die Kanzlerin die unbeliebteste Politikerin in Deutschland ist, schweigen Sie kollektiv. Warum? ",berichten Sie regelmäßig,schweigen Sie kollektiv,0,1,1,1
609,Flüchtlingskapitänin Carola Rackete erhält Kölner Karnevals Preis: Der mit 1000 Euro dotierte Karl Küppers Preis soll ihr „besonderes Maß an Engagement und Zivilcourage“ würdigen. Kölns parteilose OB Reker nennt die Aktivistin 'ein Vorbild für uns alle',Der mit 1000 Euro dotierte Karl Küppers Preis soll ihr,Kölns parteilose OB Reker nennt die Aktivistin,0,0,0,0
610,"Was für eine juristische Ohrfeige für den rot rot grünen Berliner Senat: Es gebe 'keine überzeugende Begründung für die Schließung', urteilte das Berliner Verwaltungsgericht. Das zeigt, mit welch hastiger Nadel die Corona Maßnahmen teilweise gestrickt sind.",Es gebe,Das zeigt,0,0,0,0
611,Die Kanzlerin – so beliebt wie nie. Das vermitteln uns Medien ständig. INSA hat in meinem Auftrag eine etwas andere Umfrage gemacht. Das Ergebnis: Merkel ist die unbeliebteste Politikerin in Deutschland. Alles eine Frage des Framings. Hier die unglaubliche Geschichte:,Die Kanzlerin,Das Ergebnis,0,0,0,1
612,"Erneuter Corona Bauchklatscher von Söder: Er setzte bislang auf ein Beherbergungsverbot. Jetzt warnt das Robert Koch Institut, genau das sei hochgefährlich. Das Glück von Söder & Co.: Die meisten Medien thematisieren dieses Chaos und Versagen gar nicht. ",Erneuter Corona Bauchklatscher von Söder,Jetzt warnt das Robert Koch Institut,0,0,0,0
613,"Bei Gendersprache kennt die Evangelische Kirche Deutschlands (EKD) weder den Nächsten noch die Wahrheit: Ideologie hat offenbar Vorrang vor dem Glauben – und wehe, jemand kritisiert das. Da kennen die stramm linken Kirchenfunktionäre keine Barmherzigkeit. Ein Gastbeitrag . ",Bei Gendersprache kennt die Evangelische Kirche Deutschlands,Da kennen die stramm linken Kirchenfunktionäre keine Barmherzigkeit,0,0,0,0
614,"Toleranz Paradox: Weil 'Freizügigkeit nicht immer von allen Besuchergruppen toleriert' wird und unterschiedliche Kulturen aufeinandertreffen, wird Frauen in einer Duisburger Therme allzu leichte Badekleidung verboten. Müssen nicht alle tolerant sein in Deutschland? ",Weil 'Freizügigkeit nicht immer von allen Besuchergruppen toleriert' wird und unterschiedliche Kulturen aufeinandertreffen,wird Frauen in einer Duisburger Therme allzu leichte Badekleidung verboten,0,0,0,1
615,"Berlins Senat hetzt gegen Kranke und Kinder: In einer staatlichen Anzeige wird allen, die keine Maske tragen, der Mittelfinger gezeigt. Ein Abgeordneter hat deswegen Strafanzeige erstattet: Es werde aus Steuermittel gegen die Schwächsten Stimmung gemacht. ",die keine Maske tragen,der Mittelfinger gezeigt,0,0,0,0
616,"Berlins Senat hetzt gegen Kranke und Kinder: In einer staatlichen Anzeige wird allen, die keine Maske tragen, der Mittelfinger gezeigt. Ein Abgeordneter hat deswegen Strafanzeige erstattet: Es werde aus Steuermittel gegen die Schwächsten Stimmung gemacht. ",Ein Abgeordneter hat deswegen Strafanzeige erstattet,Es werde aus Steuermittel gegen die Schwächsten Stimmung gemacht,0,0,0,0
617,Ideologie geht vor Recht: Vor lauter 'Gendergerechtigkeit' hat Justizministerin Lambrecht (SPD) ein 'weibliches' Gesetz anfertigen lassen – das aber nicht rechtssicher ist. Hier die Geschichte des neuesten juristischen und sprachlichen Schildbürgerstreiches. Ein Gastbeitrag von Josef Kraus.,Vor lauter 'Gendergerechtigkeit' hat Justizministerin Lambrecht,Ein Gastbeitrag von Josef Kraus,0,0,0,0
618,"Umfragen machen Politik. 83 Prozent seien für die Aufnahme von Moria Flüchtlingen, meldete die ARD. Die Zahl ging durch alle Medien. Mir kam sie spanisch vor. Ich habe eine eigene INSA Umfrage in Auftrag gegeben. Da wurde aus der Mehrheit eine Minderheit: ",Umfragen machen Politik,meldete die ARD,0,0,0,1
619,"Demokratie in den Zeiten von Corona: Jagdszenen auf Berliner Plätzen. Die Polizei von Innensenator Geisel (früher SED, heute SPD) im Einsatz gegen Corona Maßnahmen Kritker.",Die Polizei von Innensenator Geisel,im Einsatz gegen Corona Maßnahmen Kritker,0,0,0,0
620,"Demokratie in den Zeiten von Corona: Jagdszenen auf Berliner Plätzen. Die Polizei von Innensenator Geisel (früher SED, heute SPD) im Einsatz gegen Corona Maßnahmen Kritker.",früher SED,heute SPD,1,0,0,0
621,"Szenen, die wirken wie aus Weißrussland, aber aus Berlin sind: Mit Willkür und brutaler Gewalt ging die Polizei von Innensenator Geisel (früher SED, jetzt SPD) heute gegen Corona Demonstranten vor. Hier die unglaubliche Zusammenfassung – in Text und Video: ",Mit Willkür,in Text,0,0,0,1
622,"Szenen, die wirken wie aus Weißrussland, aber aus Berlin sind: Mit Willkür und brutaler Gewalt ging die Polizei von Innensenator Geisel (früher SED, jetzt SPD) heute gegen Corona Demonstranten vor. Hier die unglaubliche Zusammenfassung – in Text und Video: ",früher SED,jetzt SPD,1,0,0,1
623,"Demokratie in den Zeiten von Corona: Jagdszenen auf Berliner Plätzen. Die Polizei von Innensenator Geisel (früher SED, heute SPD) im Einsatz gegen Corona Maßnahmen Kritker.",Die Polizei von Innensenator Geisel,im Einsatz gegen Corona Maßnahmen Kritker,0,0,0,0
624,"Demokratie in den Zeiten von Corona: Jagdszenen auf Berliner Plätzen. Die Polizei von Innensenator Geisel (früher SED, heute SPD) im Einsatz gegen Corona Maßnahmen Kritker.",früher SED,heute SPD,1,0,0,0
625,"Mit jedem Monat des Festhaltens an den überzogenen, absurden Maßnahmen wird die Sache schlimmer', mahnt Prof. Homburg: 'Auf Dauer kann man gegen Daten, Zahlen und Fakten nicht mit Ideologie und drittmittelgetriebener Pseudowissenschaft ankommen.' INTERVIEW www.reitschuster.de/post/folgen werden mit jedem monat schlimmer/",absurden Maßnahmen wird die Sache schlimmer,INTERVIEW www.reitschuster.de/post/folgen werden mit jedem monat schlimmer,0,0,0,0
626,Ein Anflug von 'Big Brother': Strikte und umfassende Masken Überwachung sorgt im Bundestag bei der AfD Konferenz 'Freie Medien' für eine merkwürdige Atmosphäre.,Freie Medien,für eine merkwürdige Atmosphäre,0,0,0,0
627,"Die Schule entscheidet, welche Gesetze gelten und welche nicht. Sachbearbeiter im Rathaus sind von der Maskenpflicht befreit, Schüler dagegen nicht mal mit Attest. Der bewegende Brandbrief einer Mutter aus Würzburg, die ihr Land nicht mehr wieder erkennt. ",Die Schule entscheidet,welche Gesetze gelten,0,0,0,1
628,"Jetzt gibt es konkrete, wissenschaftlich fundierte Belege' für den Nutzen der Masken, melden deutsche Medien. Dabei wirft die aufgeführte Studie Fragen auf. Nicht nur, weil sie bei genauerer Betrachtung gar keine Studie ist. Sondern auch, weil die Uni zuvor eine großzügigen Spende erhielt. Ausgerechnet von der Bill Gates Stiftung, über 1,6 Millionen Euro. ",wissenschaftlich fundierte Belege' für den Nutzen der Masken,Dabei wirft die aufgeführte Studie Fragen auf,0,0,0,1
629,"Jetzt gibt es konkrete, wissenschaftlich fundierte Belege' für den Nutzen der Masken, melden deutsche Medien. Dabei wirft die aufgeführte Studie Fragen auf. Nicht nur, weil sie bei genauerer Betrachtung gar keine Studie ist. Sondern auch, weil die Uni zuvor eine großzügigen Spende erhielt. Ausgerechnet von der Bill Gates Stiftung, über 1,6 Millionen Euro. ",wissenschaftlich fundierte Belege' für den Nutzen der Masken,weil die Uni zuvor eine großzügigen Spende erhielt,0,0,0,1
630,"San Francisco ist ein „Vorzeigemodell“ dafür, wie die US Demokraten eine Stadt herunter wirtschaften können. Droht so eine dramatische Entwicklung bald landesweit? Bidens Vize Kandidat ist stramm links, stammt aus der Stadt und könnte bald das Zepter führen. ",wie die US Demokraten eine Stadt herunter wirtschaften können,Bidens Vize Kandidat ist stramm links,0,0,0,0
631,"San Francisco ist ein „Vorzeigemodell“ dafür, wie die US Demokraten eine Stadt herunter wirtschaften können. Droht so eine dramatische Entwicklung bald landesweit? Bidens Vize Kandidat ist stramm links, stammt aus der Stadt und könnte bald das Zepter führen. ",Droht so eine dramatische Entwicklung bald landesweit,Bidens Vize Kandidat ist stramm links,0,0,0,0
632,"Ob Berliner noch willkommen sind, hängt in vielen Bundesländern davon ab, in welchem Bezirk sie wohnen. Nach Mecklenburg dürfen noch alle Berliner, aber nicht Bewohner einiger NRW Landkreise. Deutschland ist fragmentiert, grenzenlos nur noch der Irrsinn. ",in welchem Bezirk sie wohnen,Deutschland ist fragmentiert,0,0,0,0
633,"»Pack«, »Mischpoke«, »Rattenfänger« und »kleine Halbneger«: Politiker klagen gerne über Sittenverfall bei ihren Wählern. Wenn man genauer hinsieht, kommt heraus: Sie schreiten da mit an vorderster Front! Kurzgeschichte einer haarsträubenden Doppelmoral von Steffen Meltzer: ",Politiker klagen gerne über Sittenverfall bei ihren Wählern,Kurzgeschichte einer haarsträubenden Doppelmoral von Steffen Meltzer,0,0,0,0
634,Massive rechtsextreme Unterwanderung unserer Polizei – dieses Narrativ wird groß in vielen Medien wiederholt und untergräbt das Vertrauen in die Polizei. Neue Zahlen des Innenministeriums legen nun nahe: es ist falsch und führt die Menschen in die Irre.,untergräbt das Vertrauen in die Polizei,führt die Menschen in die Irre,0,0,0,1
635,"Die Wendigkeit, mit manche Medien ihre Position um 180 Grad drehen, ist phänomenal. Jüngstes Beispiel: Die Tagesschau und ihr Kommentar zu Trumps Corona Infektion. Was gestern noch 'Verschwörungstheorie' war, wird gegen den US Präsident gerne verwendet: ",Die Wendigkeit,Die Tagesschau,0,0,0,1
636,"Zufälle gibt's, die gibt´s gar nicht. WDR Mitarbeiter und Reichsflaggen Träger bei einer Corona Demo gleichen sich enorm – doch es stellt sich heraus: Fehlalarm. Es sind  unterschiedliche Personen! Lesen sie auf meiner Seite exklusiv die ganze Geschichte: ",die gibt´s gar nicht,doch es stellt sich heraus,0,0,0,1
637,Wie viel DDR steckt in der neuen Bundesrepublik? Sind Demokratie und Freiheit wirklich in Gefahr – oder ist das eine Verschwörungstheorie? Mein 'reitschuster.live' zu 30 Jahren Deutsche Einheit – heute ab 18 Uhr auf YouTube. Fragen gerne vorab über das Kontaktformular meiner Seite.,zu 30 Jahren Deutsche Einheit,heute ab 18 Uhr auf YouTube,1,0,0,0
638,"Es werden bewußt wieder Feindbilder aufgebaut, um den politisch Andersdenkenden zu erniedrigen. Man will sich nicht mehr mit seinen sachlichen Argumenten auseinandersetzen, sondern ihn persönlich herabsetzen. Damit hofft man, dass viel Dreck an ihm hängen bleibt. ' DDR Bürgerrechtlerin Barbe zieht zum 30. Jahrestag der Einheit Bilanz. ",Es werden bewußt wieder Feindbilder aufgebaut,um den politisch Andersdenkenden zu erniedrigen,0,0,0,0
639,"Verfassungsschutz wegen Personalmangels überfordert: Seit die Linke, in Teilen selbst im Visier der Staatsschützer, in Thüringen regiert, fehlt dem Geheimdienst dort offenbar das Personal, um Linksextreme zu überwachen. In den Medien findet man dazu nur zwischen den Zeilen etwas. Man stelle sich mal vor, es wäre umgekehrt! ",in Thüringen regiert,um Linksextreme zu überwachen,0,0,0,0
640,"30 Jahre nach der Wiedervereinigung ist Deutschland wieder auf Abwegen: Die Freiheit ist in Gefahr, Primitivität ist in Mode, die Gewalt nimmt zu, ebenso die Verdummung. Statt all das zu tabuisieren, müssen wir es offen  ansprechen – bevor es zu spät ist. ",Die Freiheit ist in Gefahr,Primitivität ist in Mode,0,0,0,0
641,"Wie die umbenannte SED mit ihrem 'Antifaschismus', steter Propaganda vom 'Rechtsruck' und Merkels Hilfe 30 Jahre nach der Wiedervereinigung tonangebend in Deutschland geworden ist: Hier die bestechende und bittere Abrechnung von Vera Lengsfelds zum Jahrestag: ",Wie die umbenannte SED mit ihrem,steter Propaganda vom,0,0,0,0
642,"Kinder, die ihre Maske abnehmen, diffamiert als 'Täter', und ein Aufruf an Mitschüler, diese bei der Schulleitung zu denunzieren: Corona bringt Unsitten an den Tag, die man seit Jahrzehnten für überwunden hielt. Aktuell in einer Schule in Ostfriesland: ",die ihre Maske abnehmen,diese bei der Schulleitung zu denunzieren,0,0,0,0
643,Geheime Wahlen sind das Allerheiligste der Demokratie. Im MDR wird jetzt offen zu deren Abschaffung geblasen – wegen einer 'falschen' Entscheidung im Stadtrat von Gera. Aufschrei und Empörung? Bei dem Thema null (anders als etwa bei mißglückten Witzen von den 'Falschen'! Die öffentlich rechtliche 'Demokratieabgabe' bei der Arbeit!,anders als etwa bei mißglückten Witzen von den 'Falschen',Die öffentlich rechtliche 'Demokratieabgabe' bei der Arbeit,0,0,0,1
644,"Fünf Tage nach der Meldung, dass in Corona Quarantäne musste, kommt die Nachricht, er habe seine Kreditkarte in einem Supermarkt vergessen. Ein biblisches Wunder – Einkaufen in Quarantäne? Maas erntete viel Spott – dabei ist alles ganz profan:   ",dass in Corona Quarantäne musste,Einkaufen in Quarantäne,0,0,0,0
645,Im Westen will man es nicht wahrhaben: In Berg Karabach stoßen zwei Kulturen aufeinander: das christlich abendländisch geprägte Armenien und das muslimisch islamisch geprägte Aserbaidschan. Das macht den wieder aufgeflammte Krieg besonders gefährlich.,das christlich abendländisch geprägte Armenien,das muslimisch islamisch geprägte Aserbaidschan,1,1,1,1
646,"Man teste auf Teufel komm raus, dann ist die Überschreitung der Corona Grenzwerte so gut wie garantiert: Ein unglaublicher Bericht aus Würzburg, wie es zum Corona Hotspot (gemacht) wurde, mit welchen schlimmen Folgen für die Menschen und die Wirtschaft:  ",Ein unglaublicher Bericht aus Würzburg,mit welchen schlimmen Folgen für die Menschen,0,0,0,0
647,Der US Wahlkampf nimmt absurde Züge an – genauso wie die Verzerrungen in der Berichterstattung vieler Medien. Der Gesundheitszustand und die Skandale Bidens werden weitgehend ausgeklammert. Ebenso wie die Gefahr durch seine sehr linke 'Vize Kandidatin'.,genauso wie die Verzerrungen in der Berichterstattung vieler Medien,Ebenso wie die Gefahr durch seine sehr linke 'Vize Kandidatin',1,0,0,0
648,"Nach Osnabrück mit 50 Streifen im Einsatz noch eine 'Familienszene' am Wochenende: In Hamburg gingen zwei Familien aufeinander los, mit Eisenstangen und Messern. In den Medien wird kaum berichtet. Und ein nicht ganz unwichtiges Detail wird weggelassen: ",am Wochenende,mit Eisenstangen,0,0,0,0
649,"Blüht uns eine Tagesschau mit kritischem Antlitz?  Kaum beachtet, gibt es in der ARD Chefredaktion einen unglaublichen Personalwechsel. Einer der stammsten Regierungs Lautsprecher muss gehen – und wird ersetzt durch jemanden, der Merkel massiv kritisierte! ",Blüht uns eine Tagesschau mit kritischem Antlitz,gibt es in der ARD Chefredaktion einen unglaublichen Personalwechsel,0,0,0,0
650,"Schwerer Tobak: Auf Youtube verbreitet der HNO Arzt Bodo Schiffmann die Nachricht, ein, 'weiteres Kind' ohne Vorerkrankungen sei 'mit großer Wahrscheinlichkeit wegen Maske gestorben'. Konkrete Angaben machte er dazu aber nicht. Zurück bleibt Ratlosigkeit. ",Schwerer Tobak,weiteres Kind,0,0,0,0
651,"Ich hätte nie gedacht, in einem freien Land wieder einmal so viel Selbstzensur und neue Ideologien vorzufinden, wie wir es heute erleben!' Merkels Afrika Beauftragter Günther Nooke beklagt 'Verfolgung Andersdenkender' 30 Jahre nach der Einheit. EXKLUSIV: ",in einem freien Land wieder einmal so viel Selbstzensur und neue Ideologien vorzufinden,Merkels Afrika Beauftragter Günther Nooke beklagt,0,0,0,0
652,"Die Krankenkassen werden von Spahn sozialistisch enteignet', schrieb mir ein Insider. So wolle der Minister im Wahljahr schlechte Nachrichten, sprich Beitragserhöhungen wegen der Corona Unsummen vermeiden. In den großen Medien wird darüber kaum berichtet. ",Die Krankenkassen werden von Spahn sozialistisch enteignet,In den großen Medien wird darüber kaum berichtet,0,0,0,0
653,"SPD Staatssekretärin Sawsan Chebli als 'Opfer von Frauenhass' in „Tichys Einblick“: Kritiker halten dem Journalisten vor, er sei das 'hässliche Deutschland.' Er ist massiv unter Beschuss, muss den Vorsitz der Erhard Stiftung abgeben. Was steckt hinter der Affäre? Eine Analyse: ",er sei das 'hässliche Deutschland,Er ist massiv unter Beschuss,0,0,0,0
654,"Ideologie statt Journalismus – jetzt auch mit Ansage: Die taz führt ab sofort eine sogenannte „klimagerechte Sprache“ ein. Es ist der bisher wohl dreisteste Versuch eines deutschen Medienhauses, politische Ideologie als Journalismus zu verkleiden.",klimagerechte Sprache,politische Ideologie,0,0,0,0
655,"Es war Stalins Methode seit den 1930ern, alle nichtkommunistischen Gruppierungen, selbst die SPD, als 'faschistisch' zu diffamieren. Umso verhängnisvoller ist, dass diese verheerende Tradition heute wieder allgegenwärtig ist. Mit schwerwiegenden Folgen. ",alle nichtkommunistischen Gruppierungen,Mit schwerwiegenden Folgen,0,0,0,0
656,"Was macht es mit einer jungen Frau, wenn sie als Nazi, Terroristin und 'rechter Abschaum' diffamiert wird? Weil Naomi Seibt Ansichten vertritt, die dem Zeitgeist widersprechen, ist sie Hassobjekt derjenigen, die offiziell gegen Hass kämpfen. EIn Interview: ",Terroristin und 'rechter Abschaum' diffamiert wird,Weil Naomi Seibt Ansichten vertritt,0,0,0,1
657,"Wir haben Platz' – unter diesem Motto gingen am Sonntag wieder Tausende auf die Straße, um die Aufnahme von mehr Migranten aus Moria zu fordern. Warum gehen sie nicht mit guten Beispiel voran und nehmen jemanden bei sich auf? Allen voran die Politiker! ",unter diesem Motto gingen am Sonntag wieder Tausende auf die Straße,um die Aufnahme von mehr Migranten aus Moria zu fordern,0,0,0,0
658,"Was vom FDP Parteitag hängen bleiben wird, ist ein Witz von Parteichef Lindner, den viele als anzüglich empfinden. Das zeigt nicht nur, wie sehr die Partei auf den Hund gekommen ist – sondern auch, wie sehr Politik und Medien insgesamt infantilisiert sind. ",Was vom FDP Parteitag hängen bleiben wird,wie sehr Politik und Medien insgesamt infantilisiert sind,0,0,0,0
659,"Laut dpa blieb beim 'Marsch für das Leben' alles 'störungsfrei'. So lesen das wohl die meisten Deutschen.  Vor Ort sah es ganz anders aus. Unglaubliche Szenen, massive Aggression gegen die Teilnehmer, und auch gegen Journalisten. Hier mein Frontbericht:  ",Marsch für das Leben,massive Aggression gegen die Teilnehmer,1,0,0,1
660,"Reine Spekulation, keine wissenschaftlichen Belege' – es ist kein Corona Leugner, der so über die Masken spricht, sondern Drosten. Im Bundestag. Doch das wird verschwiegen. Und kritisch nachzufragen traut sich auch keiner. Hier die unglaubliche Geschichte: ",Reine Spekulation,keine wissenschaftlichen Belege,0,0,0,0
661,"Reine Spekulation, keine wissenschaftlichen Belege' – es ist kein Corona Leugner, der so über die Masken spricht, sondern Drosten. Im Bundestag. Doch das wird verschwiegen. Und kritisch nachzufragen traut sich auch keiner. Hier die unglaubliche Geschichte: ",Reine Spekulation,Hier die unglaubliche Geschichte,0,0,0,0
662,"Reine Spekulation, keine wissenschaftlichen Belege' – es ist kein Corona Leugner, der so über die Masken spricht, sondern Drosten. Im Bundestag. Doch das wird verschwiegen. Und kritisch nachzufragen traut sich auch keiner. Hier die unglaubliche Geschichte: ",keine wissenschaftlichen Belege,Hier die unglaubliche Geschichte,0,0,0,0
663,"Lesbos brennt, und auf den Inseln gibt es erste Schritte hin zum EU Staat: Droht jetzt das Ende der Souveränität  und EU kontrollierte Flüchtlingsinseln in der nord ägäischen See? Dort wird es wieder und wieder brennen, warnt Rebecca Sommer in ihrem neuem Frontbericht von Lesbos : ",Droht jetzt das Ende der Souveränität  und EU kontrollierte Flüchtlingsinseln in der nord ägäischen See,warnt Rebecca Sommer in ihrem neuem Frontbericht von Lesbos,0,0,0,0
664,"Kinkerlitzchen statt Tacheles: Wir sind in einer schweren Krise, bei sexueller Gewalt gibt es alarmierende Entwicklungen – und womit befasst sich das Parlament in Berlin? Mit Mikroplastik in Sportstätten, Lastenfahrrädern und Gender Aspkten von Corona. ",Mit Mikroplastik in Sportstätten,Gender Aspkten von Corona,0,0,0,1
665,"Drogen statt Polizeigewalt? Der Tod von George Floyd, der die weltweite 'Anti Rassismus Welle' auslöste, könnte sich ganz anders zugetragen haben, als bisher beschrieben. Lesen Sie hier, was Sie nicht lesen sollen und auch kaum in den Medien finden werden: ",könnte sich ganz anders zugetragen haben,bisher beschrieben,0,0,0,1
666,Blaupause für den Gesinnungsstaat: Die regierungsnahe Amadeu Antonio Stiftung von Ex Stasi Spitzel Kahane fordert jetzt 'Infektionsschutz' vor falschen Meinungen: Mit Repressionen und 'pädagogischer Bearbeitung'. Auch Eltern sollen auf Kurs gebracht werden. Ein Strategiepapier des Schreckens:,Blaupause für den Gesinnungsstaat,Ein Strategiepapier des Schreckens,0,0,0,0
667,Blaupause für den Gesinnungsstaat: Die regierungsnahe Amadeu Antonio Stiftung von Ex Stasi Spitzel Kahane fordert jetzt 'Infektionsschutz' vor falschen Meinungen: Mit Repressionen und 'pädagogischer Bearbeitung'. Auch Eltern sollen auf Kurs gebracht werden. Ein Strategiepapier des Schreckens:,vor falschen Meinungen,pädagogischer Bearbeitung,0,0,0,0
668,"„Ungeheuerlich, völlig undemokratisch und autoritär” – Focus Gründer Markwort geht hart mit der Kanzlerin ins Gericht, attackiert die öffentlich rechtlichen Medien und spricht von einer „linken Meute“, die Andersdenkende attackiert. Hier mein Interview:   ",attackiert die öffentlich rechtlichen Medien,spricht von einer „linken Meute“,0,0,0,0
669,"Montag: 13.000 Stühle für 'Schutzsuchende' vor dem Reichstag. Dienstag: Brand im Lager Moria mit 13.000 Bewohnern. Mittwoch: Gleiche Sprachregelung der NGOs & Forderung, alle  herzuholen.  Sicher alles nur Zufall.  Oder doch nicht ganz?  Eine Spurensuche. ",Brand im Lager Moria mit 13.000 Bewohnern,Gleiche Sprachregelung der NGOs & Forderung,0,0,0,0
670,"Wir haben Platz', sagen die Befürworter der Aufnahme neuer Migranten. Parallel berichtet R. Sommer von Lesbos, wie dort Journalisten und NGOs mit Bildern manipulieren. Ein EU Papier sieht in Deutschland Platz für 274 Mio. Menschen. Dazu mein LIVE ab 20.30 Uhr.  ",sagen die Befürworter der Aufnahme neuer Migranten,Parallel berichtet R. Sommer von Lesbos,0,0,0,0
671,"Wie die EU mit einem neuen 'Pakt für Migration und Asyl'  Europa umkrempeln will – und dabei die Bürger außen vor lässt. Für Deutschland sind laut einer Studie bis zu 274 Millionen Bewohner 'vertragbar'. Ein Warnruf von Rebecca Sommer, z.Z. auf Lesbos.  ",Pakt für Migration und Asyl',Ein Warnruf von Rebecca Sommer,0,0,0,0
672,"Die Einschränkungen wegen Corona sind ein massiver Eingriff in die Grundrechte. Als jetzt ein Gericht versuchte, sie zu überprüfen, stellte sich heraus: Es gibt keine Akten dazu. Genauso unglaublich: Statt das zu thematisieren,  verschweigen es die Medien. ",Es gibt keine Akten dazu,verschweigen es die Medien,0,0,0,1
673,"Hurra! Meine Seite ist wieder erreichbar! Und damit es so bleibt, ist schon ein eigener Server bestellt. Weil viele Fragen kamen, hier die Hintergründe des Ausfalls: Die Story eines nächtlichen Krimis, der gefühlt so schlimm war wie ein Wasserrohrbruch. ",hier die Hintergründe des Ausfalls,Die Story eines nächtlichen Krimis,0,0,0,0
674,"Leider ging meine Seite heute Abend in die Knie. 432.000 Aufrufe/Stunde drei Stunden lang, fast 1,3 Millionen Aufrufe am Abend – das hielt der Server nicht aus. Ich arbeite hastig an einer Lösung. Bis dahin – danke für das gigantische Interesse und für ein bisschen Geduld!  P.S.: Laut meinem Webmaster ist es kein Hackerangriff: 'Es waren unterschiedlich Zugriffe, somit nicht eine Quelle, somit kein Hack.",Leider ging meine Seite heute Abend in die Knie,"fast 1,3 Millionen Aufrufe am Abend",0,0,0,0
675,"Leider ging meine Seite heute Abend in die Knie. 432.000 Aufrufe/Stunde drei Stunden lang, fast 1,3 Millionen Aufrufe am Abend – das hielt der Server nicht aus. Ich arbeite hastig an einer Lösung. Bis dahin – danke für das gigantische Interesse und für ein bisschen Geduld!  P.S.: Laut meinem Webmaster ist es kein Hackerangriff: 'Es waren unterschiedlich Zugriffe, somit nicht eine Quelle, somit kein Hack.",Es waren unterschiedlich Zugriffe,somit nicht eine Quelle,0,0,0,0
676,"Leider ging meine Seite heute Abend in die Knie. 432.000 Aufrufe/Stunde drei Stunden lang, fast 1,3 Millionen Aufrufe am Abend – das hielt der Server nicht aus. Ich arbeite hastig an einer Lösung. Bis dahin – danke für das gigantische Interesse und für ein bisschen Geduld!  P.S.: Laut meinem Webmaster ist es kein Hackerangriff: 'Es waren unterschiedlich Zugriffe, somit nicht eine Quelle, somit kein Hack.",Es waren unterschiedlich Zugriffe,somit kein Hack,0,0,0,0
677,"Leider ging meine Seite heute Abend in die Knie. 432.000 Aufrufe/Stunde drei Stunden lang, fast 1,3 Millionen Aufrufe am Abend – das hielt der Server nicht aus. Ich arbeite hastig an einer Lösung. Bis dahin – danke für das gigantische Interesse und für ein bisschen Geduld!  P.S.: Laut meinem Webmaster ist es kein Hackerangriff: 'Es waren unterschiedlich Zugriffe, somit nicht eine Quelle, somit kein Hack.",somit nicht eine Quelle,somit kein Hack,0,0,0,0
678,"Leider ging meine Seite heute Abend in die Knie. 432.000 Aufrufe/Stunde drei Stunden lang, fast 1,3 Millionen Aufrufe am Abend – das hielt der Server nicht aus. Ich arbeite hastig an einer Lösung. Bis dahin – danke für das gigantische Interesse und für ein bisschen Geduld!",Leider ging meine Seite heute Abend in die Knie,"fast 1,3 Millionen Aufrufe am Abend",0,0,0,0
679,"Unglaublich: Der Polizei war bekannt, dass sich vor dem Reichstag Reichsbürger versammelten, und dass sie das Gebäude im Visier hatten. Trotzdem waren beim 'Sturm'  kaum Beamte da. Hier Antworten von Polizei und Bundestag auf meinen Fragenkatalog, die neue Rätsel aufwerfen: ",dass sich vor dem Reichstag Reichsbürger versammelten,dass sie das Gebäude im Visier hatten,0,0,0,0
680,"Heute sollte die Verhandlung über die Klage von ARD Cheffaktenfinder Gensing gegen mich stattfinden. Sie wurde verschoben. Gensings Vorgehen 'streift  die Rechtsmissbräuchlichkeit', glaubt mein Anwalt. Sein Ziel sei, unvorteilhafte Zitate zu unterbinden. ",streift  die Rechtsmissbräuchlichkeit',glaubt mein Anwalt,0,0,0,0
681,"Wie ich an der russischen Riviera zum 'Pinguin' und  'Chlor Plantscher' erklärt wurde, und warum es schnell zum Donnerwetter kommt, wenn die russische Seele auf 'westliche Dekadenz' trifft: Hier etwas Ironie Medizin gegen die heutige Nachrichten Tristesse: ",Wie ich an der russischen Riviera zum,wenn die russische Seele auf,0,0,0,0
682,"Wie ich an der russischen Riviera zum 'Pinguin' und  'Chlor Plantscher' erklärt wurde, und warum es schnell zum Donnerwetter kommt, wenn die russische Seele auf 'westliche Dekadenz' trifft: Hier etwas Ironie Medizin gegen die heutige Nachrichten Tristesse: ",Wie ich an der russischen Riviera zum,westliche Dekadenz,0,0,0,0
683,"Wie ich an der russischen Riviera zum 'Pinguin' und  'Chlor Plantscher' erklärt wurde, und warum es schnell zum Donnerwetter kommt, wenn die russische Seele auf 'westliche Dekadenz' trifft: Hier etwas Ironie Medizin gegen die heutige Nachrichten Tristesse: ",wenn die russische Seele auf,westliche Dekadenz,0,0,0,0
684,"Der Mann hinter dem Berliner Pädophilen Skandal, der Kinder in die Obhut von Kinderschändern brachte, ist der gefeierte Begründer der Sexualpädagogik, die heute in Schulen und Kitas praktiziert wird'. Interview mit Familien Aktivistin von Beverfoerde. ",der Kinder in die Obhut von Kinderschändern brachte,die heute in Schulen und Kitas praktiziert wird,0,0,0,0
